title,body
Goldman’s ‘Conspiracy’ a Best-Seller in China,"Goldman Sachs, reviled in the U.S. for its role in the financial crisis, is now getting hammered in the world’s No. 2 economy with a sensationalist new book accusing the investment bank of trying to destroy China."
Another Goldman Executive Is Said to Be Going to Trump Administration,"Dina H. Powell, a former member of George W. Bush’s staff who runs many of Goldman’s philanthropic efforts, is said to be taking a new job as White House adviser."
Bank of America Hires Goldman M.&A. Executive,"Bank of America Merrill Lynch has hired Luigi Rizzo from Goldman Sachs to become head of mergers and acquisitions for Europe, the Middle East and Africa."
Another Goldman Executive Is Said to Be Going to Trump Administration,"Dina H. Powell, a former member of George W. Bush’s staff who runs many of Goldman’s philanthropic efforts, is said to be taking a new job as White House adviser."
Bank of America Hires Goldman M.&A. Executive,"Bank of America Merrill Lynch has hired Luigi Rizzo from Goldman Sachs to become head of mergers and acquisitions for Europe, the Middle East and Africa."
CNBC: Goldman to Keep Being Goldman?,CNBC's Kate Kelly reveals the details of Goldman Sachs' massive ethics audit. Billionaire businessman Ken Langone shares his insight.
Goldman Hired to Manage $2 Billion of New York Public Pension Fund,The New York State Common Retirement Fund is hiring Goldman Sachs to manage $2 billion of the $180 billion it holds for state employees. Goldman will also be advising the fund more broadly on its entire $100 billion portfolio of stocks.
Informant Urges Australia to Investigate Goldman,"An informant for U.S. regulators probing fraud claims against Goldman Sachs has urged Australia’s markets watchdog to also investigate the U.S. bank, The Australian reported."
An Odd Couple: Yahoo and Goldman,Yahoo has been meeting with Goldman Sachs in case it receives an offer. That is the same banking adviser that led Yahoo to one of its greatest missteps in its history in spurning Microsoft.
Goldman Posts $3.46 Billion 1st-Quarter Profit,The investment bank posted another big quarterly profit as it faces a major lawsuit by the Securities and Exchange Commission.
Goldman Denies Greek Bank Sales Pitch to China,"Goldman Sachs denied a media report it had been mulling the sale of equity in National Bank of Greece to Chinese banks, as debt-ridden Greece struggles to fix its public finances."
Programmer Indicted in Theft of Goldman Software,Sergey Aleynikov is accused of stealing the software that Goldman Sachs uses to make rapid-fire trades in the financial markets.
Grassley Asks Goldman to Explain ‘Build America’ Fees,"Senator Charles E. Grassley, Republican of Iowa and ranking member of the Senate finance committee, has asked Goldman Sachs to clarify how much the bank has collected in underwriting fees as states and cities issue so-called Build America bonds."
Goldman Posts $3.46 Billion 1st-Quarter Profit,The investment bank posted another big quarterly profit as it faces a major lawsuit by the Securities and Exchange Commission.
Goldman’s ‘Conspiracy’ a Best-Seller in China,"Goldman Sachs, reviled in the U.S. for its role in the financial crisis, is now getting hammered in the world’s No. 2 economy with a sensationalist new book accusing the investment bank of trying to destroy China."
Goldman Deal Threatens Danish Government,"When Denmark gave the company approval to buy a stake in its state utility, the Socialist People’s Party withdrew its ministers from the country’s governing coalition."
Buffett Says He Backs Goldman’s Blankfein ‘100%’,"In an interview with Bloomberg Television, Warren E. Buffett said he backs Goldman chief executive Lloyd C. Blankfein “100 percent.”"
I.C.B.C. Stock Takes Hit After Goldman Sells Stake,"Industrial & Commercial Bank of China shares dropped by the most in four months after Goldman Sachs Group sold a stake in the world’s largest lender by market value for 17.45 billion Hong Kong dollars ($2.25 billion), Bloomberg News reported."
Another Executive Said to Exit Goldman Fund Unit,"In what would mark the second high-profile departure in less than month from Goldman Sachs’s Principal Strategies unit, the co-head in the Americas of the bank’s largest internal hedge fund has left the firm, Bloomberg News reported."
Goldman Amends Warrants Deal With Buffett,The modified agreement essentially makes the billionaire one of the Wall Street firm’s biggest investors without having to pay additional money.
Bank of America Hires Goldman M.&A. Executive,"Bank of America Merrill Lynch has hired Luigi Rizzo from Goldman Sachs to become head of mergers and acquisitions for Europe, the Middle East and Africa."
Goldman Employee Denies Fraud,"Fabrice Tourre, the only employee of the investment bank who was named in a federal regulator’s lawsuit, defended his actions in peddling mortgage deals."
Goldman Retreats From Plan to Award Bonuses Later in Britain,"Goldman Sachs decided Tuesday it would not delay the payment of bonuses to its staff in Britain, a move that would have helped investment bankers and other top employees to benefit from a lower income tax rate."
Goldman Posts $3.46 Billion 1st-Quarter Profit,The investment bank posted another big quarterly profit as it faces a major lawsuit by the Securities and Exchange Commission.
Goldman’s ‘Conspiracy’ a Best-Seller in China,"Goldman Sachs, reviled in the U.S. for its role in the financial crisis, is now getting hammered in the world’s No. 2 economy with a sensationalist new book accusing the investment bank of trying to destroy China."
Goldman Deal Threatens Danish Government,"When Denmark gave the company approval to buy a stake in its state utility, the Socialist People’s Party withdrew its ministers from the country’s governing coalition."
Buffett Says He Backs Goldman’s Blankfein ‘100%’,"In an interview with Bloomberg Television, Warren E. Buffett said he backs Goldman chief executive Lloyd C. Blankfein “100 percent.”"
I.C.B.C. Stock Takes Hit After Goldman Sells Stake,"Industrial & Commercial Bank of China shares dropped by the most in four months after Goldman Sachs Group sold a stake in the world’s largest lender by market value for 17.45 billion Hong Kong dollars ($2.25 billion), Bloomberg News reported."
Another Executive Said to Exit Goldman Fund Unit,"In what would mark the second high-profile departure in less than month from Goldman Sachs’s Principal Strategies unit, the co-head in the Americas of the bank’s largest internal hedge fund has left the firm, Bloomberg News reported."
Goldman Amends Warrants Deal With Buffett,The modified agreement essentially makes the billionaire one of the Wall Street firm’s biggest investors without having to pay additional money.
Bank of America Hires Goldman M.&A. Executive,"Bank of America Merrill Lynch has hired Luigi Rizzo from Goldman Sachs to become head of mergers and acquisitions for Europe, the Middle East and Africa."
Goldman Employee Denies Fraud,"Fabrice Tourre, the only employee of the investment bank who was named in a federal regulator’s lawsuit, defended his actions in peddling mortgage deals."
Goldman Retreats From Plan to Award Bonuses Later in Britain,"Goldman Sachs decided Tuesday it would not delay the payment of bonuses to its staff in Britain, a move that would have helped investment bankers and other top employees to benefit from a lower income tax rate."
Goldman Call Turns Testy Over Fraud Case,A banking analyst got into a testy exchange with the chief financial officer of Goldman Sachs over the possibility of criminal charges against the firm.
Goldman Employee Denies Fraud,"Fabrice Tourre, the only employee of the investment bank who was named in a federal regulator’s lawsuit, defended his actions in peddling mortgage deals."
Another Executive Said to Exit Goldman Fund Unit,"In what would mark the second high-profile departure in less than month from Goldman Sachs’s Principal Strategies unit, the co-head in the Americas of the bank’s largest internal hedge fund has left the firm, Bloomberg News reported."
Former Goldman Employees Divided on Controversial Quitter,Greg Smith’s claim of a “decline in the firm’s moral fiber” has inspired debates from a number of former Goldman Sachs employees and other financial services workers contacted by DealBook.
Former Goldman Executive Joins Strategic Value Partners,"Stephen J. McGuinness, the former co-chief operating officer of Goldman Sachs Asset Management, has joined the investment firm Strategic Value Partners as a senior managing director."
Goldman’s Flamand Said to Start His Own Fund,"Pierre-Henri Flamand, the London-based head of Goldman Sachs‘s largest internal hedge fund, is leaving the investment bank to launch his own hedge fund firm, according to press reports."
Goldman to Review Its Business Practices,"Faced with accusations of securities fraud and conflicts of interest, Lloyd C. Blankfein, the chief executive of Goldman Sachs, asserted Friday that the firm was committed to its clients and said it would establish a committee to monitor its business practices."
Goldman Names Co-Head of Investment Banking,The appointment of Richard Gnodde comes amid other senior staffing changes in its investment banking division.
Goldman Files Suit Against Natixis,"Goldman Sachs has filed a lawsuit in the U.K.’s High Court against French bank Natixis, The Financial Times reported, over whether the French bank is allowed to terminate protection for derivatives transactions made by Goldman."
Blogging Goldman’s Annual Meeting,"The investment bank’s chief executive, Lloyd C. Blankfein, faced questions on executive compensation and business practices during the shareholder meeting."
"Sidney Weinberg Jr., Goldman Banker, Dies at 87","Sidney J. Weinberg Jr., a senior director of Goldman Sachs and a member of the family dynasty that had played a central role at the investment banking firm since 1907, died Monday at his home in Marion, Mass. Mr. Weinberg, who was also a significant philanthropist, was 87."
U.S. Goldman Disclosure a Rare Break in Secrecy,"After deciding not to prosecute Goldman Sachs for its conduct during the financial crisis, the Justice Department did something rare: it publicly announced that the investigation was closed."
Weighing the Trade-Offs in the Goldman Settlement,White Collar Watch and the Deal Professor examine what Goldman Sachs and the Securities and Exchange Commission achieved by settling the S.E.C.’s securities fraud case.
Longtime Goldman Executive Is Departing,"J. Michael Evans, the firm’s global head of growth markets, who had been thought to be a possible successor to Goldman’s chief executive, Lloyd C. Blankfein, plans to retire."
Goldman Employees Rally Around Blankfein,Lloyd C. Blankfein has assured employees that Goldman will prevail in the civil fraud suit against it.
Goldman’s Flamand Said to Start His Own Fund,"Pierre-Henri Flamand, the London-based head of Goldman Sachs‘s largest internal hedge fund, is leaving the investment bank to launch his own hedge fund firm, according to press reports."
Goldman Files Suit Against Natixis,"Goldman Sachs has filed a lawsuit in the U.K.’s High Court against French bank Natixis, The Financial Times reported, over whether the French bank is allowed to terminate protection for derivatives transactions made by Goldman."
Deutsche Bank Pay Said to Be Higher Than Goldman’s,"Deutsche Bank, Germany’s biggest bank, set aside more in compensation for employees of its corporate and investment bank in the first nine months of 2010 than Goldman Sachs, Bloomberg News reported."
Goldman Said to Wind Down Its G.E.O. Fund,"Global Equity Opportunities Fund, one of Goldman Sach’s hedge funds, looks poised for liquidation, according to The Financial Times."
Goldman to Review Its Business Practices,"Faced with accusations of securities fraud and conflicts of interest, Lloyd C. Blankfein, the chief executive of Goldman Sachs, asserted Friday that the firm was committed to its clients and said it would establish a committee to monitor its business practices."
Think the Big Banks Have Abandoned Coal? Think Again,An environmental group’s analysis shows the five largest United States banks have started lending to coal companies again now that they’re out of bankruptcy.
Weighing the Trade-Offs in the Goldman Settlement,White Collar Watch and the Deal Professor examine what Goldman Sachs and the Securities and Exchange Commission achieved by settling the S.E.C.’s securities fraud case.
Goldman Employees Rally Around Blankfein,The chief assures employees that Goldman will prevail against a civil fraud suit against it.
Goldman’s Charitable Foundation Chief to Lead Urban Investment Group,Dina H. Powell will be the new head of a group which specializes in “social impact investing” through projects like the Citi Bike program and an anti-recidivism program for the jail at Rikers Island.
Goldman Buying Metals Warehouser Metro,"Goldman Sachs plans to buy U.S.-based warehouse and logistics company Metro International Trade Services, a Goldman Sachs spokesman told Reuters on Friday, without revealing how much the deal was worth."
U.S. Goldman Disclosure a Rare Break in Secrecy,"After deciding not to prosecute Goldman Sachs for its conduct during the financial crisis, the Justice Department did something rare: it publicly announced that the investigation was closed."
"Parsimony, for Goldman at Least","For a second quarter in a row, Goldman Sachs’s pay ratio was 43 percent of revenue, suggesting the investment bank might finally be listening to its critics, Reuters Breakingviews says."
"A Glare on Goldman, From U.S. and Beyond","Calls for increased scrutiny of Goldman Sachs emerged on Sunday as two congressmen pressed for investigations into possible taxpayer losses generated in securities sold by the firm, and the British prime minister also asked his nation’s securities regulator to investigate the Wall Street powerhouse because of losses suffered by a major British bank."
Noto Returns to Goldman,"Anthony J. Noto, the Goldman Sachs Internet analyst who left to become chief financial officer of National Football League, is returning to Goldman."
S.E.C. Accuses Goldman of Fraud in Mortgage Deal,"Goldman Sachs was accused of securities fraud in a civil suit filed Friday by the Securities and Exchange Commission, which claims the bank created and sold a mortgage investment that was secretly devised to fail."
"Goldman Fined $650,000 for Lack of Disclosure",Goldman Sachs failed to disclose that Fabrice P. Tourre and another employee had received a Wells notice from the S.E.C. pointing to an enforcement action.
Private Goldman Exchange Officially Closes for Business,"With Thursday’s initial public offering of the Oaktree Capital Group, a once-promising private Goldman Sachs stock exchange has officially come to an end."
S.E.C. Accuses Goldman of Fraud in Mortgage Deal,"Goldman Sachs was accused of securities fraud in a civil suit filed Friday by the Securities and Exchange Commission, which claims the bank created and sold a mortgage investment that was secretly devised to fail."
Noto Returns to Goldman,"Anthony J. Noto, the Goldman Sachs Internet analyst who left to become chief financial officer of National Football League, is returning to Goldman."
Dimon Urges High Road in Goldman Controversy,"Swooping in on Goldman Sachs clients, JPMorgan Chase’s Jamie Dimon said in an e-mail on Wednesday to his operating committee, is in poor taste."
"Bank of England’s New Leader, a Member of the ‘Government Sachs’ Club",The announcement that Mark Carney will serve as the next head of the Bank of England shows that the “Government Sachs” meme isn’t going anywhere.
Whitman on Hot Seat Over Time at Goldman,"Meg Whitman, the former eBay chief executive, said Tuesday she regrets taking part in a now-banned stock sale practice at Goldman Sachs and said she left the investment bank’s board in 2002 after 15 months because she “wasn’t a good fit.”"
Goldman Appoints a New President in Asia,"Goldman Sachs said on Tuesday that Ken Hitchner would succeed David C. Ryan as president for the Asia-Pacific region, excluding Japan."
"Parsimony, for Goldman at Least","For a second quarter in a row, Goldman Sachs’s pay ratio was 43 percent of revenue, suggesting the investment bank might finally be listening to its critics, Reuters Breakingviews says."
Goldman to Pay Up to $5 Billion to Settle Claims of Faulty Mortgages,Goldman Sachs is among the last big Wall Street banks to settle claims for selling flawed mortgage securities.
"Blankfein, in Victory, Remains Goldman’s Chairman","Shareholders of Goldman Sachs rejected a proposal to split the jobs of chairman and chief executive, in a victory for Lloyd C. Blankfein."
Goldman Handed Out Cosmetic Mirrors and Nail Files at Women’s Coding Event,"The swag that the Wall Street bank offered at the Women Engineers Code, or WECode, conference at Harvard was found off-putting by at least one attendee."
Goldman’s Trading Plan: Shades of Volcker,Goldman Sachs’s reported plans to move its proprietary trading desk to its asset management arm represent another reaction to the just-passed financial regulatory overhaul.
Goldman Converts Preferred Shares in Sumitomo,"Goldman Sachs Group, the world’s most profitable securities firm, agreed to convert its 100 billion yen ($1.09 billion) of preferred shares in Sumitomo Mitsui Financial Group, Bloomberg News reported."
Former Goldman Trader Said to Raise $1 Billion,"Pierre-Henri Flamand, the former London-based head of Goldman Sachs’s Principal Strategies group, has raised more than $1 billion in capital and commitments for his new hedge fund, Edoma Capital, MarketWatch reported."
Goldman and Morgan Pay May Overshadow Results,"Morgan Stanley and Goldman Sachs find themselves on different ends of the pay debate, as the surviving Wall Street titans prepare to disclose their fourth-quarter results."
Goldman and Its Lobbyists Spurned in Fight on Bill,Lawmakers are keeping their distance from Goldman Sachs and its well-connected lobbyists.    
"A Glare on Goldman, From U.S. and Beyond","Two congressmen urged investigations into possible taxpayer losses related to Goldman deals, and the British prime minister asked his nation’s securities regulator to investigate."
Plea in Case of Stolen Code From Goldman,"A former Goldman Sachs computer programmer pleaded not guilty Wednesday to charges he stole code from the bank’s lucrative high-frequency trading platform before leaving for another company last year, Reuters reported."
The Goldman Defense: Caveat Emptor,"Updated with Goldman documents: Goldman Sachs, in lengthy defenses prepared for the Securities and Exchange Commission last fall, argued that it didn’t mislead anyone in its Abacus mortgage investment. Instead, it argues essentially, buyers should have been wary."
Escape Clause Seen for Goldman and the S.E.C.,"Goldman Sachs might be able to take advantage of technical differences in the fraud sections of the Securities Act of 1933 and the Exchange Act of 1934 to reach a settlement with the S.E.C., according to CNBC.com."
Goldman Said to Cap Pay of London Partners,"Goldman Sachs Group, the most profitable securities firm in Wall Street history, will cap the salary and bonuses of its London partners at $1.6 million amid anger about the size of investment bankers’ pay, a person familiar with the situation told Bloomberg News."
Judge Rules Against British Activists in Goldman Tax Case,"A deal between Goldman Sachs and Britain’s tax authorities about outstanding payments in 2010 was arranged clumsily but did not break any laws, a judge ruled on Thursday."
Goldman Rejects Shareholder Pay Demands,Goldman Sachs said in its annual report that it had received shareholder letters demanding an investigation into and revision of the firm’s compensation practices — and rejected those entreaties.
Deutsche Bank Hires Goldman Exec Ted Wasserman,"Deutsche Bank on Tuesday said it hired a Goldman Sachs executive to lead its equity derivatives sales, The Associated Press reported."
Goldman Shares Dive on Inquiries and Downgrades,"Already facing investigations on two fronts into its practices in the mortgage market, Goldman Sachs came under pressure from investors as well after Standard & Poor’s changed its rating to sell."
"A Glare on Goldman, From U.S. and Beyond","Two congressmen urged investigations into possible taxpayer losses related to Goldman deals, and the British prime minister asked his nation’s securities regulator to investigate."
"A Glare on Goldman, From U.S. and Beyond","Calls for increased scrutiny of Goldman Sachs emerged on Sunday as two congressmen pressed for investigations into possible taxpayer losses generated in securities sold by the firm, and the British prime minister also asked his nation’s securities regulator to investigate the Wall Street powerhouse because of losses suffered by a major British bank."
Goldman’s Eileen Rominger to Join the S.E.C.,"The Securities and Exchange Commission announced Tuesday that Eileen Rominger, the global chief investment officer of Goldman Sachs Asset Management, has been named its director of Investment Management."
The Goldman Defense: Caveat Emptor,"Updated with Goldman documents: Goldman Sachs, in lengthy defenses prepared for the Securities and Exchange Commission last fall, argued that it didn’t mislead anyone in its Abacus mortgage investment. Instead, it argues essentially, buyers should have been wary."
Goldman Trader Set to Create Fund,Morgan Chia-Wen Sze is said to be seeking to raise $1.5 billion for a hedge fund based in Hong Kong.
Goldman’s Trading Plan: Shades of Volcker,Goldman Sachs’s reported plans to move its proprietary trading desk to its asset management arm represent another reaction to the just-passed financial regulatory overhaul.
"Blankfein, in Victory, Remains Goldman’s Chairman","Shareholders of Goldman Sachs rejected a proposal to split the jobs of chairman and chief executive, in a victory for Lloyd C. Blankfein."
Goldman Awards Blankfein $14.7 Million in Stock Bonus,"Lloyd C. Blankfein, the chief executive of Goldman Sachs, was awarded company stock worth $14.7 million as part of his 2013 package, about 10.5 percent more than in the previous year."
Goldman Converts Preferred Shares in Sumitomo,"Goldman Sachs Group, the world’s most profitable securities firm, agreed to convert its 100 billion yen ($1.09 billion) of preferred shares in Sumitomo Mitsui Financial Group, Bloomberg News reported."
Goldman Said to Invest in Level Global Fund,"A Goldman Sachs Group buyout firm bought a minority stake in David Ganek’s $4 billion Level Global Investors, adding a hedge fund that can bet on rising as well as falling stock prices globally."
Reacting to Goldman Executive’s Resignation Letter,"In a frank opinion article in The New York Times, Greg Smith, a Goldman Sachs executive, explained on Wednesday why he was resigning from the firm. While the investment bank defended its actions, the letter sparked a storm of comment on the Web and Twitter."
Goldman Should Expect Its Stock to Stay in a Rut,"Though the bank’s book value has grown, shares trade about 4 percent below their level of five and 10 years ago."
Goldman Brings Back a Former Partner,"Mark Schwartz is well known at Goldman, which he joined in 1979 as a banker. He was a partner by the time the company went public in 1999, and he left a few years later."
Goldman Fund Gives $20 Million for Charter School,"A charitable fund supported by Goldman Sachs and its partners is giving $20 million to the Harlem Children’s Zone, one of the best-known charter school operators in the nation."
A Crowd With Pity for Goldman,"At a financial industry conference, many of the attendees seemed to believe that Goldman Sachs had done nothing wrong in helping clients place bets that the housing bubble was going to burst."
C.D.R. and Goldman to Buy HGI Holdings,"Clayton, Dubilier & Rice and Goldman Sachs’s private equity arm agreed on Tuesday to buy HGI Holdings, a medical device distributor, from the Jordan Company, a middle-market private equity firm."
3 Women Claim Bias at Goldman,"Three former female employees, including two who held high-ranking executive positions, claim discrimination in pay and promotion."
Goldman Fund Run by Prop Traders Beats Average,"Goldman Sachs proprietary traders who created a hedge fund within the firm in 2007 have generated a return of about 3 percent this year, beating the industry average, Bloomberg News reported, citing people briefed on the gain."
Bayou's Quagmire for Goldman,"Goldman Sachs is hoping to overturn a $20.6 million fine for its role as a clearing firm for the hedge fund Bayou. Wall Street firms say that their job is to clear the trade, not police the clients."
"Sidney J. Weinberg Jr., Former Goldman Executive, Dies at 87",Mr. Weinberg was a member of the family dynasty that played a central role at Goldman Sachs starting in 1907.
Goldman Fund Gives $20 Million for Charter School,"A charitable fund supported by Goldman Sachs and its partners is giving $20 million to the Harlem Children’s Zone, one of the best-known charter school operators in the nation."
A Milestone Goldman Would Rather Forget,"Amid growing concern about the firm’s second-quarter earnings and a debt default in Greece, shares of the investment bank are trading at their book value, or roughly $129 a share."
Goldman Puts Mortgage-Servicing Unit Up for Sale,Goldman is exploring options for Litton Loan Servicing amid continued concern over whether borrowers were improperly evicted from their homes.
Reacting to Goldman Executive’s Resignation Letter,"In a frank opinion article in The New York Times, Greg Smith, a Goldman Sachs executive, explained on Wednesday why he was resigning from the firm. While the investment bank defended its actions, the letter sparked a storm of comment on the Web and Twitter."
Goldman’s Woes Good for Options Investors?,"Options investors could benefit from federal government criticism of Goldman Sachs if they use a specific strategy, according to Barron’s."
Goldman Puts Mortgage-Servicing Unit Up for Sale,Goldman is exploring options for Litton Loan Servicing amid continued concern over whether borrowers were improperly evicted from their homes.
Goldman’s Slow Start in M.&A.,"Thomas Reuters shows a drop in the advisory league standings, yet Goldman’s market share in the United States remains strong."
A Milestone Goldman Would Rather Forget,"Amid growing concern about the firm’s second-quarter earnings and a debt default in Greece, shares of the investment bank are trading at their book value, or roughly $129 a share."
German Property Firm Backed by Goldman Plans I.P.O.,"LEG Immobilien, a German real estate company owned by the Goldman Sachs investment fund Whitehall, is expected to raise up to $1.3 billion in one of the first initial public offerings in Europe this year."
"At Goldman, Top Departure Opens a Door for the Next Generation",The Wall Street firm named two executives to share president and chief operating officer roles and promoted others as a new group of potential C.E.O.s emerges.
What Goldman’s Conduct Reveals,What does the S.E.C. lawsuit against Goldman Sachs say about deregulation of the financial industry?
Goldman’s Blankfein Collects $12 Million,"Compensation for Goldman Sachs’s chief executive, Lloyd C. Blankfein, fell roughly 35 percent to $12 million in 2011, in a year when the company’s stock tumbled 46.2 percent."
House Panel’s Other Punching Bag Is Goldman,"Along with taking swipes at Treasury Secretary Timothy F. Geithner, House committee members investigating the government’s bailout of the American International Group vented their anger at its largest trading partner."
"The Goldman E-Mails, or How to Sell Junk",Goldman Sachs e-mails released Tuesday support one of the most important criticisms of the bank — that it serves itself at the expense of its clients — and illustrate the conflicts of interest that arise when banks’ proprietary trading overlaps with customer sales.
Blankfein on Goldman’s Earnings,"Lloyd Blankfein, chief executive of Goldman Sachs, told Carl Quintanilla of CNBC that the return of volatility and confidence drove the strong quarter."
Goldman Pushes Back on Bear Stearns Charges,Goldman Sachs has denied that it sparked the collapse of two Bear Stearns hedge funds by lowering the valuation of their subprime assets.
Democrats Use Goldman to Push Bank Bill,"Politicians like nothing more than a convenient foil, and Democrats locked in a stubborn impasse with Republicans over new rules to govern Wall Street believe they have found a gold-plated one in Goldman Sachs."
German Property Firm Backed by Goldman Plans I.P.O.,"LEG Immobilien, a German real estate company owned by the Goldman Sachs investment fund Whitehall, is expected to raise up to $1.3 billion in one of the first initial public offerings in Europe this year."
Goldman E-Mail Cited ‘Serious’ Profit on Mortgages,A Senate panel released messages that Goldman Sachs executives sent in 2007 that appear to contradict its suggestion that it lost money on the housing market.
What Goldman’s Conduct Reveals,What does the S.E.C. lawsuit against Goldman Sachs say about deregulation of the financial industry?
Why Did Goldman Blink?,Clearly the investment bank did not anticipate the uproar that the sale of Facebook private shares would generate.
Goldman Executive Hired by TPG for Industrial Acquisitions,Jack Daly most recently oversaw industrial deals at a merchant banking division of Goldman Sachs.
Goldman C.E.O. Could Testify in Galleon Trial,"The Goldman chief, Lloyd C. Blankfein, is said to have agreed to testify for the government in the insider trading trial of Raj Rajaratnam, which starts next week in Manhattan."
Interactive Feature: A Chorus of Criticism for Goldman,"Since the financial crisis, the investment bank has faced a wave of criticism from politicians, regulators, protesters and writers. Now, a Goldman executive who resigned publicly on Wednesday is joining the chorus of detractors."
"The Goldman E-Mails, or How to Sell Junk",Goldman Sachs e-mails released Tuesday support one of the most important criticisms of the bank — that it serves itself at the expense of its clients — and illustrate the conflicts of interest that arise when banks’ proprietary trading overlaps with customer sales.
Goldman to Seek Extension In S.E.C. Case?,"Goldman Sachs is likely to ask for more time to respond to the fraud lawsuit filed against the investment bank in April by the U.S. Securities regulator, The New York Post reported."
What Goldman’s Conduct Reveals,What does the S.E.C. lawsuit against Goldman Sachs say about deregulation of the financial industry?
Goldman Had Just One Losing Day Last Quarter,"The filing also shows that Goldman Sachs cut its estimated losses from legal claims by 21 percent in the first quarter, to $2.7 billion."
Goldman Says Losses Prove No Ill Intent,"Goldman points to its losses on Abacus 2007-AC1 and, indeed, in the broader mortgage arena, as evidence that it did not create a mortgage security that was intended to fail, as the S.E.C. claims. But people with knowledge of Goldman’s trading paint a different picture."
Goldman’s Woes Good for Options Investors?,"Options investors could benefit from federal government criticism of Goldman Sachs if they use a specific strategy, according to Barron’s."
Is Clinton in Goldman’s Corner?,"Goldman Sachs got some encouraging words on Friday from an unusual source: former President Bill Clinton, in an interview with CNBC’s Maria Bartiromo."
"In Austere Era, Goldman Workers Adopt Lower Profile","The firm’s damaged public image and executive caution have put its junior analysts on alert, reluctant to talk about their jobs to outsiders for fear of judgment."
How Goldman Killed A.I.G.,The financial crisis commission’s much-overlooked big story.
UBS to Hire Goldman and BofA Executives,UBS said on Sunday that it plans to hire executives from Goldman Sachs and Bank of America to build its mortgages and lending business in the United States.
@GSElevator Tattletale Exposed (He Was Not in the Goldman Elevator),"The person posting as @GSElevator on Twitter, thought to be a Goldman Sachs employee, is actually a 34-year-old former bond trader in Texas."
Goldman’s Love Affair With Voice Mail,"Lloyd C. Blankfein, once a BlackBerry addict, tells the jurors in the trial of Raj Rajaratnam that voice mail is now his chosen method of communication."
Lawyer for Ex-Goldman Programmer Criticizes Prosecutors and Firm,"More than three years after appearing in Federal District Court in Manhattan on corporate theft charges, the former programmer, Sergey Aleynikov, was in a New York State court to plead not guilty to similar charges."
Goldman Said to Get Subpoena Over Its Role in Crisis,"Goldman Sachs has received a subpoena from the office of the Manhattan district attorney, which is investigating the firm’s role in the financial crisis, say people briefed on the matter."
Goldman Says Losses Prove No Ill Intent,"Goldman points to its losses on Abacus 2007-AC1 and, indeed, in the broader mortgage arena, as evidence that it did not create a mortgage security that was intended to fail, as the S.E.C. claims. But people with knowledge of Goldman’s trading paint a different picture."
Goldman to Seek Extension In S.E.C. Case?,"Goldman Sachs is likely to ask for more time to respond to the fraud lawsuit filed against the investment bank in April by the U.S. Securities regulator, The New York Post reported."
Conflict of Interest for Goldman in Lloyds Deal?,"Goldman Sachs was involved as an underwriter and an investor in Lloyds Banking Group’s $36.1 billion refinancing in late 2009, and is said to have changed the deal terms in a way that benefited its proprietary trading, The Financial Times reported."
Shumway Sells 8% Stake to Goldman Fund,"The hedge fund manager Chris Shumway sold an 8 percent stake in his firm to a leveraged-buyout fund run by Goldman Sachs, according to a letter sent to investors on Tuesday."
A Crowd With Pity for Goldman,"At a financial industry conference, many of the attendees seemed to believe that Goldman Sachs had done nothing wrong in helping clients place bets that the housing bubble was going to burst."
Is Clinton in Goldman’s Corner?,"Goldman Sachs got some encouraging words on Friday from an unusual source: former President Bill Clinton, in an interview with CNBC’s Maria Bartiromo."
"Was Goldman Deal Fraud, or Just Flawed?","Despite apparent flaws in the Securities and Exchange Commission’s fraud case against Goldman Sachs, the bank is likely to end up settling with the S.E.C., Charlie Gasparino argues in The Daily Beast."
Glencore Versus Goldman,"Glencore, which is prepping for an I.P.O., is drawing comparisons to Goldman Sachs — and some are valid, including that both behemoths picked opportune times to go public."
@GSElevator Tattletale Exposed (He Was Not in the Goldman Elevator),"The person posting as @GSElevator on Twitter, thought to be a Goldman Sachs employee, is actually a 34-year-old former bond trader in Texas."
"Takeover Defense, Goldman Style (Circa 1960s)",How Goldman Sachs once defended a client’s interests.
Lawyer for Ex-Goldman Programmer Criticizes Prosecutors and Firm,"More than three years after appearing in Federal District Court in Manhattan on corporate theft charges, the former programmer, Sergey Aleynikov, was in a New York State court to plead not guilty to similar charges."
Shumway Sells 8% Stake to Goldman Fund,"The hedge fund manager Chris Shumway sold an 8 percent stake in his firm to a leveraged-buyout fund run by Goldman Sachs, according to a letter sent to investors on Tuesday."
AXA Halves Its Goldman Holdings in Quarter,"AXA, the giant French insurer and once the largest shareholder in Goldman Sachs, cut its holdings in the investment bank in half over the last quarter, The Financial Times reported."
"In China, Local Banks Eclipse Goldman and UBS in I.P.O.’s","Goldman Sachs and UBS are missing out on Chinese initial public offerings as local investment banks lead record numbers of small companies to sell shares in Shenzhen, Bloomberg News reported."
Conflict of Interest for Goldman in Lloyds Deal?,"Goldman Sachs was involved as an underwriter and an investor in Lloyds Banking Group’s $36.1 billion refinancing in late 2009, and is said to have changed the deal terms in a way that benefited its proprietary trading, The Financial Times reported."
Report Clears S.E.C.’s Intentions in Goldman Suit,A Securities and Exchange Commission investigation found no evidence that the agency’s lawsuit against Goldman Sachs was politically motivated.
